Period,A_interestDue,A_interestPaid,A_interetShort,A_principalPaid,A_balance,B_interestDue,B_interestPaid,B_interetShort,B_principalPaid,B_balance
1.0,94514.58,94514.58,0.0,309835.8,22683499.45,37805.83,37805.83,0.0,0.0,5670874.86
2.0,93223.6,93223.6,0.0,314102.56,22373663.66,37805.83,37805.83,0.0,0.0,5670874.86
3.0,91914.84,91914.84,0.0,318428.86,22059561.09,37805.83,37805.83,0.0,0.0,5670874.86
4.0,90588.05,90588.05,0.0,322815.51,21741132.24,37805.83,37805.83,0.0,0.0,5670874.86
5.0,89242.99,89242.99,0.0,327263.39,21418316.72,37805.83,37805.83,0.0,0.0,5670874.86
6.0,87879.39,87879.39,0.0,331773.34,21091053.34,37805.83,37805.83,0.0,0.0,5670874.86
7.0,86497.0,86497.0,0.0,336346.26,20759279.99,37805.83,37805.83,0.0,0.0,5670874.86
8.0,85095.56,85095.56,0.0,340983.03,20422933.73,37805.83,37805.83,0.0,0.0,5670874.86
9.0,83674.79,83674.79,0.0,345684.55,20081950.71,37805.83,37805.83,0.0,0.0,5670874.86
10.0,82234.44,82234.44,0.0,350451.74,19736266.16,37805.83,37805.83,0.0,0.0,5670874.86
11.0,80774.23,80774.23,0.0,355285.52,19385814.42,37805.83,37805.83,0.0,0.0,5670874.86
12.0,79293.87,79293.87,0.0,360186.84,19030528.9,37805.83,37805.83,0.0,0.0,5670874.86
13.0,77793.09,77793.09,0.0,365156.66,18670342.06,37805.83,37805.83,0.0,0.0,5670874.86
14.0,76271.61,76271.61,0.0,370195.95,18305185.39,37805.83,37805.83,0.0,0.0,5670874.86
15.0,74729.12,74729.12,0.0,375305.68,17934989.45,37805.83,37805.83,0.0,0.0,5670874.86
16.0,73165.35,73165.35,0.0,380486.85,17559683.77,37805.83,37805.83,0.0,0.0,5670874.86
17.0,71579.99,71579.99,0.0,385740.48,17179196.92,37805.83,37805.83,0.0,0.0,5670874.86
