Period,A_interestDue,A_interestPaid,A_interetShort,A_principalPaid,A_balance,B_interestDue,B_interestPaid,B_interetShort,B_principalPaid,B_balance
0,94514.5810592,94514.5810592,0.0,309835.797266,22683499.4542,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
1,93223.5985706,93223.5985706,0.0,314102.564828,22373663.6569,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
2,91914.8378838,91914.8378838,0.0,318428.85637,22059561.0921,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
3,90588.0509822,90588.0509822,0.0,322815.512722,21741132.2357,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
4,89242.9863459,89242.9863459,0.0,327263.386738,21418316.723,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
5,87879.3889012,87879.3889012,0.0,331773.343462,21091053.3363,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
6,86496.9999701,86496.9999701,0.0,336346.26031,20759279.9928,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
7,85095.5572188,85095.5572188,0.0,340983.027249,20422933.7325,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
8,83674.7946052,83674.7946052,0.0,345684.546974,20081950.7053,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
9,82234.4423262,82234.4423262,0.0,350451.735097,19736266.1583,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
10,80774.2267633,80774.2267633,0.0,355285.52033,19385814.4232,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
11,79293.8704286,79293.8704286,0.0,360186.844679,19030528.9029,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
12,77793.0919091,77793.0919091,0.0,365156.663631,18670342.0582,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
13,76271.6058106,76271.6058106,0.0,370195.946354,18305185.3945,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
14,74729.1227008,74729.1227008,0.0,375305.675893,17934989.4482,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
15,73165.3490512,73165.3490512,0.0,380486.84937,17559683.7723,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
16,71579.9871789,71579.9871789,0.0,385740.47819,17179196.9229,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
17,69972.7351864,69972.7351864,0.0,391067.588246,16793456.4447,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
18,68343.286902,68343.286902,0.0,396469.220131,16402388.8565,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
19,66691.3318182,66691.3318182,0.0,401946.429347,16005919.6364,70885.9357944,70885.9357944,0.0,0.0,5670874.86355
